,ID,d1fc_n,d4fc_n
0,GO:0008236,3.256932941685935,2.9689213865471316
1,GO:0017171,3.256932941685935,2.9689213865471316
2,GO:0005539,2.082622755753171,5.3368963771389675
3,GO:0004175,2.9588976283067265,2.9204452802561036
4,GO:0003735,1.053386936671517,2.2683985763811347
5,GO:0043021,1.1191173064581295,2.067375765295545
6,GO:0019843,1.10247928484441,2.2967900956563025
7,GO:0003729,1.0479678781369672,1.8480646933932823
8,GO:0005201,1.370868627233391,5.223487600777937
9,GO:0051082,1.2008190274618213,2.3372379913816888
10,GO:0045182,1.083446921568051,2.1140471950034962
11,GO:0008135,1.0987211801642445,2.049681546489812
12,GO:0090079,1.085125021749193,2.0821554720386324
13,GO:0070990,1.0536981851305116,2.087183114736182
14,GO:1990446,1.0223958844670118,2.0486534175662134
15,GO:0030020,1.4040964273325753,5.5215720394314785
16,GO:0042625,1.1774141074825715,2.3925922558958748
17,GO:0044769,1.1774141074825715,2.3925922558958748
18,GO:0046961,1.1774141074825715,2.3925922558958748
19,GO:0015399,1.1453878252859764,2.1067940380402947
20,GO:0003779,1.213889225279059,2.564133046592784
21,GO:0003743,1.1424140716597448,2.0374400083011266
22,GO:0019829,1.196055463625549,2.279077984346278
23,GO:0005200,1.2526550253982836,2.5572353303731
24,GO:0003712,1.1375759615970873,2.08122877194898
25,GO:0031386,1.2106667911329188,2.496860366051241
26,GO:0141047,1.2106667911329188,2.496860366051241
27,GO:0015036,1.2609514649942197,2.5925215120974054
28,GO:0140597,1.122730617561276,1.962690877962998
29,GO:0003713,1.1283953730954486,2.180435494764021
30,GO:0043022,1.1605753276508588,2.1021337562720026
31,GO:1990948,0.9566799064056456,2.0472634571166526
32,GO:0050840,1.4675077245820591,5.577248631399867
33,GO:0008320,1.1246753205573272,2.156487606963642
34,GO:0022884,1.130430001516791,2.039463771029842
35,GO:0140104,1.247268628123778,2.381641068622079
36,GO:0032977,1.1209814474226354,2.1090406878450714
37,GO:0009055,1.2143351259135045,2.314201402123689
38,GO:0061650,1.071695379058141,2.0146249159946175
39,GO:0051787,1.2520496822895082,2.292707756936025
40,GO:0051015,1.2474777906507486,2.5106785406870826
41,GO:0015078,1.1832345283076264,2.2801874300606957
42,GO:0055105,0.9566799064056456,2.0472634571166526
43,GO:0015035,1.2549898086984403,2.532409082937309
44,GO:0035091,1.2605722850745702,2.307516637723613
45,GO:0042626,1.1694875590525386,2.1443853124584447
46,GO:0140318,1.1246753205573272,2.156487606963642
47,GO:0003755,1.4266394846397192,3.8533065462785183
48,GO:0050750,1.2831807926357843,2.1542803972579727
49,GO:0016667,1.2609514649942197,2.5925215120974054
50,GO:0140296,1.1118654673569734,1.951912305473525
51,GO:0044389,1.1888387621910335,2.221212500536371
52,GO:0055106,0.922872525765009,2.0281298045478198
53,GO:1901981,1.252647750519941,2.4583014829814545
54,GO:0001098,1.1345679875945147,2.0882701690027266
55,GO:0001099,1.1345679875945147,2.0882701690027266
56,GO:0051020,1.1687552933896803,2.1637274278245076
57,GO:0044183,1.1758216580478533,2.016228805041206
58,GO:0008137,1.0962949778148794,2.004122260469248
59,GO:1902936,1.2650531784713743,2.7758414688330735
60,GO:0016859,1.4266394846397192,3.8533065462785183
61,GO:0050136,1.0962949778148794,2.004122260469248
62,GO:0015453,1.091163424311211,2.022213670599456
63,GO:0070325,1.2831807926357843,2.1542803972579727
64,GO:0048027,1.0660553391544025,2.098366104699694
65,GO:0005543,1.2720082842679012,2.388892863146795
66,GO:0031625,1.1806584619385052,2.251679055185214
67,GO:0005085,1.1554386652679505,2.109528517075959
68,GO:0005525,1.3036325201675405,2.60897657418834
69,GO:0016887,1.1388083677304879,1.7962411159500333
70,GO:0003954,1.0962949778148794,2.004122260469248
71,GO:0003727,1.0484061624217162,1.9032253582145542
72,GO:0000993,1.1606253986719057,2.131018487082122
73,GO:0004869,0.8000714225853398,3.833788179977353
74,GO:0017025,1.1588440750187954,2.167974413721883
75,GO:0036002,0.9956944781581374,1.6374704420921007
76,GO:0003955,1.0962949778148794,2.004122260469248
77,GO:0019001,1.3003191837908257,2.598138167345522
78,GO:0032561,1.3003191837908257,2.598138167345522
79,GO:0015662,1.2654070718974566,2.2679102906110686
80,GO:0016209,1.4740680907859434,4.045347474715545
81,GO:0005546,1.2665156363716086,2.9040590133625064
82,GO:0043175,1.1606253986719057,2.131018487082122
83,GO:0002039,1.2029738232053646,2.276552221882747
84,GO:0031072,1.100428644758815,1.8627911252977285
85,GO:0003730,1.0322816215039803,1.9110040584133008
86,GO:0140358,1.2654070718974566,2.2679102906110686
87,GO:0070063,1.1453497552941931,1.9787627142204165
88,GO:0022853,1.3351317996415846,2.1921769961514803
89,GO:0005518,1.3374975645057174,4.501646853878363
